video_id,title,channel_title,alert_type,alert_priority,alert_reason,alert_score,ravs_score,ravs_speed_of_engagement,ravs_regulatory_relevance,ravs_safety_implications,ravs_influencer_reach,ravs_topic_sensitivity,viral_probability,trend_score,growth_acceleration,sentiment_label,emotion_label,toxicity_label,toxicity_score,pharma_risk_score,narrative_cluster_id,dominant_topic_id,topic_keywords,cluster_volume,narrative_trend_score,view_count,like_count,comment_count,subscriber_count,tracking_timestamp
eoBDGe0Znmg,Why Vets Squeeze Dummy Foals #goodtoknow #vet #medicine #educational #funfacts #lifehacks #survival,Vetventures,emerging_narrative,medium,Narrative cluster accelerating rapidly,240.27898544268388,0.5279,99,74,20,35,100,0.9947,1199.7553772134193,0.0,neutral,joy,non_toxic,0.1475,0,9,9,"research, dr, drug, trial, medical, immunotherapy, oncology, treatment, clinical, cancer",1883,4712.392744804283,3319387.0,131236.0,1313.0,0,2026-05-18 09:30:53.077934+00:00
eoBDGe0Znmg,Why Vets Squeeze Dummy Foals #goodtoknow #vet #medicine #educational #funfacts #lifehacks #survival,Vetventures,viral_emerging,high,High virality probability detected,240.27898544268388,0.5279,99,74,20,35,100,0.9947,1199.7553772134193,0.0,neutral,joy,non_toxic,0.1475,0,9,9,"research, dr, drug, trial, medical, immunotherapy, oncology, treatment, clinical, cancer",1883,4712.392744804283,3319387.0,131236.0,1313.0,0,2026-05-18 16:08:17.805041+00:00
eoBDGe0Znmg,Why Vets Squeeze Dummy Foals #goodtoknow #vet #medicine #educational #funfacts #lifehacks #survival,Vetventures,growth_spike,medium,Rapid growth acceleration detected,240.27898544268388,0.5279,99,74,20,35,100,0.9947,1199.7553772134193,0.0,neutral,joy,non_toxic,0.1475,0,9,9,"research, dr, drug, trial, medical, immunotherapy, oncology, treatment, clinical, cancer",1883,4712.392744804283,3319387.0,131236.0,1313.0,0,2026-05-18 09:30:53.077934+00:00
yFKzE9elgrk,How To Make Any Cat Yawn #goodtoknow #vet #medicine #funfacts #educational #lifehacks #survival #tip,Vetventures,viral_emerging,high,High virality probability detected,170.1723440661215,0.4416,99,74,20,35,100,0.9965,849.3616703306075,0.0,positive,joy,non_toxic,0.0053,0,9,9,"research, dr, drug, trial, medical, immunotherapy, oncology, treatment, clinical, cancer",1883,3556.093512091004,1388441.0,36939.0,329.0,0,2026-05-18 09:30:53.077934+00:00
yFKzE9elgrk,How To Make Any Cat Yawn #goodtoknow #vet #medicine #funfacts #educational #lifehacks #survival #tip,Vetventures,growth_spike,medium,Rapid growth acceleration detected,170.1723440661215,0.4416,99,74,20,35,100,0.9965,849.3616703306075,0.0,positive,joy,non_toxic,0.0053,0,9,9,"research, dr, drug, trial, medical, immunotherapy, oncology, treatment, clinical, cancer",1883,3556.093512091004,1388441.0,36939.0,329.0,0,2026-05-18 09:30:53.077934+00:00
yFKzE9elgrk,How To Make Any Cat Yawn #goodtoknow #vet #medicine #funfacts #educational #lifehacks #survival #tip,Vetventures,emerging_narrative,medium,Narrative cluster accelerating rapidly,170.1723440661215,0.4416,99,74,20,35,100,0.9965,849.3616703306075,0.0,positive,joy,non_toxic,0.0053,0,9,9,"research, dr, drug, trial, medical, immunotherapy, oncology, treatment, clinical, cancer",1883,3556.093512091004,1388441.0,36939.0,329.0,0,2026-05-18 16:08:17.805041+00:00
BSrcLgZmNXo,FDA Director Resigns After Trump Approved Flavored Vape Pens,DeFranco News Clips,growth_spike,medium,Rapid growth acceleration detected,153.47881596105063,0.427,99,74,20,35,100,0.9967,765.8974298052532,0.0,neutral,sadness,non_toxic,0.0016,0,3,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1800,3247.461518357335,839625.0,38655.0,1301.0,0,2026-05-18 16:08:17.805041+00:00
BSrcLgZmNXo,FDA Director Resigns After Trump Approved Flavored Vape Pens,DeFranco News Clips,emerging_narrative,medium,Narrative cluster accelerating rapidly,153.47881596105063,0.427,99,74,20,35,100,0.9967,765.8974298052532,0.0,neutral,sadness,non_toxic,0.0016,0,3,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1800,3247.461518357335,839625.0,38655.0,1301.0,0,2026-05-18 09:30:53.077934+00:00
BSrcLgZmNXo,FDA Director Resigns After Trump Approved Flavored Vape Pens,DeFranco News Clips,viral_emerging,high,High virality probability detected,153.47881596105063,0.427,99,74,20,35,100,0.9967,765.8974298052532,0.0,neutral,sadness,non_toxic,0.0016,0,3,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1800,3247.461518357335,839625.0,38655.0,1301.0,0,2026-05-18 16:08:17.805041+00:00
y1flHcojAx0,How To Fix Ballerina Foals 😷 #goodtoknow #vet #medicine #funfacts #lifehacks #educational #survival,Vetventures,emerging_narrative,medium,Narrative cluster accelerating rapidly,132.7601220184331,0.4119,99,74,20,35,100,0.9952,662.2932100921655,0.0,neutral,joy,non_toxic,0.0146,0,9,9,"research, dr, drug, trial, medical, immunotherapy, oncology, treatment, clinical, cancer",1883,2938.7675933041464,1885015.0,66287.0,457.0,0,2026-05-18 16:08:17.805041+00:00
