keyword,video_id,comment_id,author,author_channel_url,text,like_count,published_at,updated_at,extracted_at
pfizer,ExEYxWgsYEU,UgybOvjV6-qmOfbgdst4AaABAg,@wlodekd9243,http://www.youtube.com/@wlodekd9243,"Bezczelne dranie, robią przekręty ,żeby koncerny zarobiły krocie a oni zachowali stołki..a na chore dzieci społeczeństwo musi robić zbiórk",2,2026-05-13T10:22:53Z,2026-05-13T10:22:53Z,2026-05-13T10:50:52.732532+00:00
pfizer,ExEYxWgsYEU,Ugz4PDFgHLB9gfXTP6F4AaABAg,@dorotastaron5023,http://www.youtube.com/@dorotastaron5023,Obciążyc kosztami tych którzy to zamawiali,1,2026-05-13T10:17:05Z,2026-05-13T10:17:05Z,2026-05-13T10:50:52.732532+00:00
pfizer,ExEYxWgsYEU,UgzWdZJGit52Gr1d1bt4AaABAg,@teresa.s.9268,http://www.youtube.com/@teresa.s.9268,To jest przekręt z udziałem rządu,0,2026-05-13T10:37:07Z,2026-05-13T10:37:07Z,2026-05-13T10:50:52.732532+00:00
pfizer,3tLXROZqzbc,UgxzDZFh1t--dOHUgN94AaABAg,@Atoutpoint,http://www.youtube.com/@Atoutpoint,"💉 la justice a remis le contrat Pfizer. Avec ARN. C'est pas joli joli. On aurait aimé qu'un débat soit ouvert. Mais aucun politique, et aucun media, n ont osés aborder ce sujet. C est fort déplorable... Le sujet est-il. Si piquant que cela ? ?? Je pense que nous sommes une unanimité à vouloir les réponses. Je veux dire publiquement. Et démocratiquement... Ne vous méprenez pas.. les contrat Pfizer sont déjà en ligne.. nous avons tout le temps... Sans vouloir dire de bêtises il me semble que les députés sénateurs et cetera sont exempts d.injection.. ce n'est pas mon cas j'ai simplement le droit de m'interroger..",1,2026-05-13T09:03:47Z,2026-05-13T09:17:44Z,2026-05-13T10:50:53.162163+00:00
pfizer,UhoekiDsRp4,UgwFnrqgA2LBhUh9jM54AaABAg,@SteveNowottny,http://www.youtube.com/@SteveNowottny,Full details here: https://fullfact.org/health/hantavirus-not-listed-side-effect-pfizer-covid-19-vaccine,0,2026-05-13T08:03:54Z,2026-05-13T08:03:54Z,2026-05-13T10:50:53.368178+00:00
pfizer,UhoekiDsRp4,Ugy4PTkv5z469wMLHmd4AaABAg,@ggsherr555,http://www.youtube.com/@ggsherr555,yeah its nothing to do with being sprayed with god knows what 24/7,0,2026-05-13T08:36:56Z,2026-05-13T08:36:56Z,2026-05-13T10:50:53.368178+00:00
pfizer,Y3n_Jee693I,Ugw8xet8WHhx9EgKjzJ4AaABAg,@ramoncapilla9610,http://www.youtube.com/@ramoncapilla9610,¡Que curioso! El laboratorio supo aprovechar la ocasión.,1,2026-05-12T20:52:23Z,2026-05-12T20:52:23Z,2026-05-13T10:50:55.769146+00:00
pfizer,dLxxAEK-drs,UgyT4dygWKTOlOpm7q14AaABAg,@MrAnonnyms,http://www.youtube.com/@MrAnonnyms,"So how did they have Hantavirus during monitoring, if it’s only by rodent-borne viruses ? Also good to know that there are 38 variants and only 1 can be spread between humans, and it’s only with a prolonged physical contact (kissing, bed, share the same glass for a minimum time..). 

So unless you have this answer, well.. You don’t have to think a lot to know where does it come from.",2,2026-05-12T16:23:42Z,2026-05-12T16:26:15Z,2026-05-13T10:50:56.205056+00:00
pfizer,dLxxAEK-drs,UgzOnZAeRLtrBrPsRGx4AaABAg,@psysmurf8117,http://www.youtube.com/@psysmurf8117,"Well you sound legit 😂 and especially after you informing us it has been “fact checked” 😂. 
It was “fact checked” that Covid didn’t come from a lad! Well it did! 
This video is such BS",3,2026-05-12T18:01:07Z,2026-05-12T18:01:07Z,2026-05-13T10:50:56.205056+00:00
pfizer,dLxxAEK-drs,Ugw4ID0YE-AXd8zXYxZ4AaABAg,@menopriezvisko1840,http://www.youtube.com/@menopriezvisko1840,"Since the fake vaccine Moderna killed my beloved Mom, I do not trust you anymore! All your ""experts""...",0,2026-05-13T09:13:15Z,2026-05-13T09:13:15Z,2026-05-13T10:50:56.205056+00:00
