feature,importance
trend_score,0.1807257
narrative_trend_score,0.017582789
cluster_volume,0.0138247525
trend_label,0.008449136
narrative_similarity_score,0.008428326
engagement_rate,0.0075252037
pharma_risk_score,0.0068069887
emotion_score,0.006567392
toxicity_score,0.0064183557
sentiment_score,0.006078169
sentiment_label,0.0046349936
toxicity_label,0.0045501934
emotion_label,0.0042124996
like_velocity,0.0
view_velocity,0.0
growth_acceleration,0.0
comment_velocity,0.0
pharma_risk_label,0.0
emerging_narrative,0.0
